,brand,name,short_name,price,currency,description
10,bulk-store,Fanta Orange 300ml - Pack of 12,Fanta Orange 300ml - Pack of 12,30,GHS.00,"Coca-cola Ghana, brings you the Fanta Orange flavored soda with other natural flavors. Bright, bubbly and instantly refreshing, Fanta is made with 100% natural flavors and is caffeine free.Ingredients: Carbonated water, high fructose corn syrup, citric acid, natural flavors, modified food starch, potassium sorbate and sodium benzoate (to protect taste), sodium citrate, coconut oil, salt, sucrose acetate isobutyrate, yellow 5, yellow 6."
11,drinks,Ensure Milk Original Vanilla (237ml),Ensure Milk Original Vanilla (237ml),13,GHS.00,Bath & Living RoomsPalmolive Handwash 500ml - Aquarium GHS16.00Palmolive Aquarium Handwash 500ml                            Add to basket                
12,drinks,Ensure Milk Original Chocolate (237ml),Ensure Milk Original Chocolate (237ml),13,GHS.00,"Canned Fruits & VeggiesNkulenu Palm Soup Base (Spiced) 780g GHS19.00Nkulenu Palm Soup Base (Spiced) 780g. Perfect for making Ghanaian palm nut soap or the Nigerian Banga soup.Spiced with Prekese and Abedro (Twi)                            Add to basket                "
13,drinks,Countre Milk Vanilla 500ml,Countre Milk Vanilla 500ml,8.6,GHS0,Snapple Juice Apple 591mlGHS8.58
14,drinks,Don Simon Non Alcoholic Sparkling Red Grape Drink 750ml,Don Simon Non Alcoholic Sparkling Red Grape Drink 750ml,15.15,GHS,Breakfast BeveragesCowbell Sachets 23g (Strip of 10) GHS10.10Cowbell Sachets 23g (Strip of 10)                            Add to basket                
15,drinks,Vitamilk Banana 300ml (Pack of 6),Vitamilk Banana 300ml (Pack of 6),28.2,GHS0,Breakfast BeveragesPeak Milk (Green) Low Cholesterol 160g GHS3.23Peak Milk Low Cholesterol 170g                            Add to basket                
16,drinks,Horlicks - The Original Malted Milk Drink 500g,Horlicks - The Original Malted Milk Drink 500g,42.6,GHS0,"Horlicks is packed with 14 essential vitamins and minerals; it's a tasty treat that also aids in overall nourishment.It’s hard to put into words just how much wholesome goodness you get in every mug of Horlicks – so we thought, let’s draw a diagram instead. Just click on the ingredients to find out more."
17,drinks,Pure Heaven (Red Grape) Non-Alcoholic Sparkling Drink 750ml - Box of 12,Pure Heaven (Red Grape) Non-Alcoholic Sparkling Drink 750ml - Box of 12,161.55,GHS,DrinksPure Heaven (Strawberry) Non-Alcoholic Sparkling Drink 750ml - Box of 12 GHS161.55Pure Heaven (Strawberry) Non-Alcoholic Sparkling Drink 750ml - Box of 12                            Add to basket                
18,drinks,Pure Heaven (Strawberry) Non-Alcoholic Sparkling Drink 750ml - Box of 12,Pure Heaven (Strawberry) Non-Alcoholic Sparkling Drink 750ml - Box of 12,161.55,GHS,DrinksPure Heaven (Red Grape) Non-Alcoholic Sparkling Drink 750ml - Box of 12 GHS161.55Pure Heaven (Red Grape) Non-Alcoholic Sparkling Drink 750ml - Box of 12                            Add to basket                
19,drinks,Pure Heaven (Red Grape) Non-Alcoholic Sparkling Drink 750ml,Pure Heaven (Red Grape) Non-Alcoholic Sparkling Drink 750ml,15.15,GHS,Canned Fish & SeafoodStarKist Tuna Flakes in Sunflower Oil 160g (box of 24) GHS267.57StarKist Tuna Flakes in Sunflower Oil 160g (box of 24)                            Add to basket                
20,drinks,Pure Heaven (Strawberry) Non-Alcoholic Sparkling Drink 750ml,Pure Heaven (Strawberry) Non-Alcoholic Sparkling Drink 750ml,15.15,GHS,"Home EssentialsHamp 1L Dish Wash Liquid - Pure Lemon GHS10.10Hamp 1L Dish Wash Liquid - Pure LemonClean and ShineSoft on Hands, Hard on Grease                            Add to basket                "
21,drinks,Lactasoy Soymilk Original 1L,Lactasoy Soymilk Original 1L,12,GHS.00,
22,drinks,Don Simon Multifruita 500ml(Pack of 12),Don Simon Multifruita 500ml(Pack of 12),66.53,GHS,Home Nido Tin 400g Instant Full Cream Milk Powder GHS38.77Nestle Nido Instant Full Cream Milk Powder 400g                            Add to basket                
